,Code,Title,In2019,In2018
0,,"營業活動之現金流量－間接法Cash flows from (used in) operating activities, indirect method",,
1,A00010,繼續營業單位稅前淨利（淨損）　Profit (loss) from continuing operations before tax,163877947,170251442
2,A10000,本期稅前淨利（淨損）　Profit (loss) before tax,163877947,170251442
3,,調整項目　Adjustments,,
4,,收益費損項目 Adjustments to reconcile profit (loss),,
5,A20100,折舊費用 Depreciation expense,65144046,58210706
6,A20200,攤銷費用 Amortization expense,1864811,1715151
7,A20300,預期信用減損損失（利益）數／呆帳費用提列（轉列收入）數 Expected credit loss (gain) / Provision (reversal of provision) for bad debt expense,1876660,195147
8,A20400,透過損益按公允價值衡量金融資產及負債之淨損失（利益） Net loss (gain) on financial assets or liabilities at fair value through profit or loss,"(10,996,109)","(12,202,000)"
9,A20900,利息費用 Interest expense,66108704,54978871
10,A21200,利息收入 Interest income,"(75,819,336)","(60,400,627)"
11,A21300,股利收入 Dividend income,"(6,423,484)","(3,543,981)"
12,A21900,股份基礎給付酬勞成本 Share-based payments,3831801,0
13,A22300,採用權益法認列之關聯企業及合資損失（利益）之份額 Share of loss (profit) of associates and joint ventures accounted for using equity method,"(19,634,053)","(16,231,713)"
14,A22500,"處分及報廢不動產、廠房及設備損失（利益） Loss (gain) on disposal of property, plan and equipment",837950,824918
15,A23100,處分投資損失（利益） Loss (gain) on disposal of investments,"(1,869,967)","(1,666,502)"
16,A23500,金融資產減損損失 Impairment loss on financial assets,157082,2535426
17,A23700,非金融資產減損損失 Impairment loss on non-financial assets,234241,2589522
18,A20010,收益費損項目合計 Total adjustments to reconcile profit (loss),25312346,27004918
19,,與營業活動相關之資產／負債變動數 Changes in operating assets and liabilities,,
20,,與營業活動相關之資產之淨變動 Changes in operating assets,,
21,A31115,"強制透過損益按公允價值衡量之金融資產（增加）減少 Decrease (increase) in financial assets at fair value through profit or loss, mandatorily measured at fair value",7762176,"(2,011,528)"
22,A31130,應收票據（增加）減少 Decrease (increase) in notes receivable,536036,"(302,417)"
23,A31150,應收帳款（增加）減少 Decrease (increase) in accounts receivable,22456556,143814705
24,A31160,應收帳款－關係人（增加）減少 Decrease (increase) in accounts receivable due from related parties,3418255,31879664
25,A31180,其他應收款（增加）減少 Decrease (increase) in other receivable,5878317,2888426
26,A31200,存貨（增加）減少 Decrease (increase) in inventories,110599948,"(58,738,438)"
27,A31230,預付款項（增加）減少 Decrease (increase) in prepayments,"(299,314)",731851
28,A31000,與營業活動相關之資產之淨變動合計 Total changes in operating assets,150351974,118262263
29,,與營業活動相關之負債之淨變動 Changes in operating liabilities,,
30,A32150,應付帳款增加（減少） Increase (decrease) in accounts payable,"(36,285,069)","(220,012,620)"
31,A32160,應付帳款－關係人增加（減少） Increase (decrease) in accounts payable to related parties,"(6,831,622)","(54,974,370)"
32,A32180,其他應付款增加（減少） Increase (decrease) in other payable,"(12,493,588)","(37,530,727)"
33,A32200,負債準備增加（減少） Increase (decrease) in provisions,"(2,556,901)",855649
34,A32230,其他流動負債增加（減少） Increase (decrease) in other current liabilities,11543240,"(1,747,794)"
35,A32240,淨確定福利負債增加(減少) Increase (decrease) in net defined benefit liability,"(179,233)","(123,752)"
36,A32000,與營業活動相關之負債之淨變動合計 Total changes in operating liabilities,"(46,803,173)","(313,533,614)"
37,A30000,與營業活動相關之資產及負債之淨變動合計 Total changes in operating assets and liabilities,103548801,"(195,271,351)"
38,A20000,調整項目合計 Total adjustments,128861147,"(168,266,433)"
39,A33000,營運產生之現金流入（流出）　Cash inflow (outflow) generated from operations,292739094,1985009
40,A33500,退還（支付）之所得稅　Income taxes refund (paid),"(44,721,356)","(42,141,231)"
41,AAAA,營業活動之淨現金流入（流出）Net cash flows from (used in) operating activities,248017738,"(40,156,222)"
42,,投資活動之現金流量Cash flows from (used in) investing activities,,
43,B00010,取得透過其他綜合損益按公允價值衡量之金融資產　Acquisition of financial assets at fair value through other comprehensive income,"(1,264,282)","(7,514,778)"
44,B00020,處分透過其他綜合損益按公允價值衡量之金融資產　Proceeds from disposal of financial assets at fair value through other comprehensive income,2845909,2794477
45,B00040,取得按攤銷後成本衡量之金融資產　Acquisition of financial assets at amortised cost,0,"(14,312,960)"
46,B00050,處分按攤銷後成本衡量之金融資產　Proceeds from disposal of financial assets at amortised cost,25989262,55580447
47,B00060,按攤銷後成本衡量之金融資產到期還本　Proceeds from repayments of financial assets at amortised cost,1369020,1379850
48,B00100,取得透過損益按公允價值衡量之金融資產　Acquisition of financial assets at fair value through profit or loss,"(22,036,448)","(4,405,425)"
49,B00200,處分透過損益按公允價值衡量之金融資產　Proceeds from disposal of financial assets at fair value through profit or loss,20768886,112953
50,B01800,取得採用權益法之投資　Acquisition of investments accounted for using equity method,"(1,243,716)","(3,937,967)"
51,B02200,對子公司之收購（扣除所取得之現金）　Net cash flow from acquisition of subsidiaries,"(3,989,043)","(26,112,000)"
52,B02700,"取得不動產、廠房及設備　Acquisition of property, plant and equipment","(77,521,451)","(65,532,812)"
53,B02800,"處分不動產、廠房及設備　Proceeds from disposal of property, plant and equipment",6569952,27883428
54,B04400,其他應收款－關係人減少　Decrease in other receivables due from related parties,30049126,44992310
55,B04500,取得無形資產　Acquisition of intangible assets,"(21,271)",0
56,B05350,取得使用權資產　Acquisition of use-of-right assets,"(469,473)",0
57,B06700,其他非流動資產增加　Increase in other non-current assets,0,"(167,081)"
58,B06800,其他非流動資產減少　Decrease in other non-current assets,2036918,0
59,B07400,其他預付款項減少　Decrease in other prepayments,0,241377
60,B07500,收取之利息　Interest received,76563195,54451751
61,B07600,收取之股利　Dividends received,11228694,6290869
62,B09900,其他投資活動　Other investing activities,"(290,947)","(312,983)"
63,BBBB,投資活動之淨現金流入（流出）　Net cash flows from (used in) investing activities,70584331,71431456
64,,籌資活動之現金流量Cash flows from (used in) financing activities,,
65,C00100,短期借款增加　Increase in short-term loans,0,113480231
66,C00200,短期借款減少　Decrease in short-term loans,"(153,984,671)",0
67,C00500,應付短期票券增加　Increase in short-term notes and bills payable,10538810,8340928
68,C01200,發行公司債　Proceeds from issuing bonds,36770000,19500000
69,C01300,償還公司債　Repayments of bonds,"(11,000,000)","(38,617,729)"
70,C01600,舉借長期借款　Proceeds from long-term debt,21128785,17585680
71,C01700,償還長期借款　Repayments of long-term debt,"(1,068,637)","(7,440,627)"
72,C04020,租賃本金償還　Payments of lease liabilities,"(4,712,236)",0
73,C04300,其他非流動負債增加　Increase in other non-current liabilities,0,645671
74,C04400,其他非流動負債減少　Decrease in other non-current liabilities,"(626,579)",0
75,C04500,發放現金股利　Cash dividends paid,"(55,451,962)","(34,657,477)"
76,C04700,現金減資　Capital reduction payments to shareholders,0,"(34,653,770)"
77,C05600,支付之利息　Interest paid,"(62,779,924)","(48,346,530)"
78,C05800,非控制權益變動　Change in non-controlling interests,3091260,251608
79,C09900,其他籌資活動　Other financing activities,0,122882261
80,CCCC,籌資活動之淨現金流入（流出）　Net cash flows from (used in) financing activities,"(218,095,154)",118970246
81,DDDD,匯率變動對現金及約當現金之影響Effect of exchange rate changes on cash and cash equivalents,"(31,304,878)","(4,079,214)"
82,EEEE,本期現金及約當現金增加（減少）數Net increase (decrease) in cash and cash equivalents,69202037,146166266
83,E00100,期初現金及約當現金餘額Cash and cash equivalents at beginning of period,788662325,642496059
