,Code,Title,2019,2018
0,,營業收入Operating revenue,,
1,4000.0,營業收入合計　Total operating revenue,5342810995,5293803022
2,,營業成本Operating costs,,
3,5000.0,營業成本合計　Total operating costs,5026942570,4961773118
4,5900.0,營業毛利（毛損）Gross profit (loss) from operations,315868425,332029904
5,5950.0,營業毛利（毛損）淨額Gross profit (loss) from operations,315868425,332029904
6,,營業費用Operating expenses,,
7,6100.0,推銷費用　Selling expenses,30129101,32690093
8,6200.0,管理費用　Administrative expenses,79294289,78762853
9,6300.0,研究發展費用　Research and development expenses,91548149,84430083
10,6000.0,營業費用合計　Total operating expenses,200971539,195883029
11,6900.0,營業利益（損失）Net operating income (loss),114896886,136146875
12,,營業外收入及支出Non-operating income and expenses,,
13,,其他收入　Other income,,
14,7010.0,其他收入合計 Total other income,90380254,74415499
15,,其他利益及損失　Other gains and losses,,
16,7020.0,"其他利益及損失淨額 Other gains and losses, net",5567450,"(997,809)"
17,,財務成本　Finance costs,,
18,7050.0,"財務成本淨額 Finance costs, net",66600696,55544836
19,,採用權益法認列之關聯企業及合資損益之份額　Share of profit (loss) of associates and joint ventures accounted for using equity method,,
20,7060.0,"採用權益法認列之關聯企業及合資損益之份額淨額 Share of profit (loss) of associates and joint ventures accounted for using equity method, net",19634053,16231713
21,7000.0,營業外收入及支出合計　Total non-operating income and expenses,48981061,34104567
22,7900.0,繼續營業單位稅前淨利（淨損）Profit (loss) from continuing operations before tax,163877947,170251442
23,,所得稅費用（利益）Tax expense (income),,
24,7950.0,所得稅費用（利益）合計　Total tax expense (income),31692859,40416017
25,8000.0,繼續營業單位本期淨利（淨損）Profit (loss) from continuing operations,132185088,129835425
26,8200.0,本期淨利（淨損）Profit (loss),132185088,129835425
27,,其他綜合損益(淨額)Other comprehensive income,,
28,,不重分類至損益之項目　Components of other comprehensive income that will not be reclassified to profit or loss,,
29,8311.0,確定福利計畫之再衡量數 Gains (losses) on remeasurements of defined benefit plans,"(7,404)",217476
30,8316.0,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益 Unrealised gains (losses) from investments in equity instruments measured at fair value through other comprehensive income,4720616,"(4,687,419)"
31,8320.0,"採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目 Share of other comprehensive income of associates and joint ventures accounted for using equity method, components of other comprehensive income that will not be reclassified to profit or loss",3028377,"(12,700,347)"
32,8349.0,與不重分類之項目相關之所得稅 Income tax related to components of other comprehensive income that will not be reclassified to profit or loss,"(1,481)",43495
33,8310.0,不重分類至損益之項目總額 Components of other comprehensive income that will not be reclassified to profit or loss,7743070,"(17,213,785)"
34,,後續可能重分類至損益之項目　Components of other comprehensive income that will be reclassified to profit or loss,,
35,8361.0,國外營運機構財務報表換算之兌換差額 Exchange differences on translation,"(51,266,536)","(11,603,077)"
36,8370.0,"採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目 Share of other comprehensive income of associates and joint ventures accounted for using equity method, components of other comprehensive income that will be reclassified to profit or loss","(1,096,843)","(121,619)"
37,8360.0,後續可能重分類至損益之項目總額 Components of other comprehensive income that will be reclassified to profit or loss,"(52,363,379)","(11,724,696)"
38,8300.0,"其他綜合損益（淨額）　Other comprehensive income, net","(44,620,309)","(28,938,481)"
39,8500.0,本期綜合損益總額Total comprehensive income,87564779,100896944
40,,"淨利（損）歸屬於：Profit (loss), attributable to:",,
41,8610.0,"母公司業主（淨利／損）　Profit (loss), attributable to owners of parent",115308736,129065105
42,8620.0,"非控制權益（淨利／損）　Profit (loss), attributable to non-controlling interests",16876352,770320
43,,綜合損益總額歸屬於：Comprehensive income attributable to:,,
44,8710.0,"母公司業主（綜合損益）　Comprehensive income, attributable to owners of parent",74706141,103120437
45,8720.0,"非控制權益（綜合損益）　Comprehensive income, attributable to non-controlling interests",12858638,"(2,223,493)"
46,,基本每股盈餘Basic earnings per share,,
47,9710.0,繼續營業單位淨利（淨損）　Basic earnings (loss) per share from continuing operations,8.32,8.03
48,9750.0,基本每股盈餘合計　Total basic earnings per share,8.32,8.03
49,,稀釋每股盈餘Diluted earnings per share,,
50,9810.0,繼續營業單位淨利（淨損）　Diluted earnings (loss) per share from continuing operations,8.24,7.95
51,9850.0,稀釋每股盈餘合計　Total diluted earnings per share,8.24,7.95
