,Code,Title,In2019,In2018
0,,"營業活動之現金流量－間接法Cash flows from (used in) operating activities, indirect method",,
1,A00010,繼續營業單位稅前淨利（淨損）　Profit (loss) from continuing operations before tax,389845336,397510263
2,A10000,本期稅前淨利（淨損）　Profit (loss) before tax,389845336,397510263
3,,調整項目　Adjustments,,
4,,收益費損項目 Adjustments to reconcile profit (loss),,
5,A20100,折舊費用 Depreciation expense,281411832,288124897
6,A20200,攤銷費用 Amortization expense,5472409,4421405
7,A20300,預期信用減損損失（利益）數／呆帳費用提列（轉列收入）數 Expected credit loss (gain) / Provision (reversal of provision) for bad debt expense,1714,"(2,383)"
8,A20400,透過損益按公允價值衡量金融資產及負債之淨損失（利益） Net loss (gain) on financial assets or liabilities at fair value through profit or loss,955723,358156
9,A20900,利息費用 Interest expense,3250847,3051223
10,A21200,利息收入 Interest income,"(16,189,374)","(14,694,456)"
11,A21300,股利收入 Dividend income,"(417,295)","(158,358)"
12,A21900,股份基礎給付酬勞成本 Share-based payments,2818,0
13,A22300,採用權益法認列之關聯企業及合資損失（利益）之份額 Share of loss (profit) of associates and joint ventures accounted for using equity method,"(2,844,222)","(3,057,781)"
14,A22500,"處分及報廢不動產、廠房及設備損失（利益） Loss (gain) on disposal of property, plan and equipment",949965,1005644
15,A22800,處分無形資產損失（利益） Loss (gain) on disposal of intangible assets,2377,(436)
16,A23100,處分投資損失（利益） Loss (gain) on disposal of investments,"(537,835)",989138
17,A23700,非金融資產減損損失 Impairment loss on non-financial assets,"(301,384)",423468
18,A23900,未實現銷貨利益（損失） Unrealized profit (loss) from sales,"(3,395)",111788
19,A24100,未實現外幣兌換損失（利益） Unrealized foreign exchange loss (gain),"(5,228,218)",2916659
20,A29900,其他項目 Other adjustments to reconcile profit (loss),"(10,568)",2386
21,A20010,收益費損項目合計 Total adjustments to reconcile profit (loss),266515394,283491350
22,,與營業活動相關之資產／負債變動數 Changes in operating assets and liabilities,,
23,,與營業活動相關之資產之淨變動 Changes in operating assets,,
24,A31115,"強制透過損益按公允價值衡量之金融資產（增加）減少 Decrease (increase) in financial assets at fair value through profit or loss, mandatorily measured at fair value",848750,480109
25,A31150,應收帳款（增加）減少 Decrease (increase) in accounts receivable,"(18,119,552)","(13,271,268)"
26,A31160,應收帳款－關係人（增加）減少 Decrease (increase) in accounts receivable due from related parties,"(277,658)",599712
27,A31190,其他應收款－關係人（增加）減少 Decrease (increase) in other receivable due from related parties,13375,106030
28,A31200,存貨（增加）減少 Decrease (increase) in inventories,20249780,"(29,369,975)"
29,A31240,其他流動資產（增加）減少 Decrease (increase) in other current assets,"(76,263)","(513,051)"
