,Code,Title,2019,2018
0,,營業收入Operating revenue,,
1,4000.0,營業收入合計　Total operating revenue,1069985448,1031473557
2,,營業成本Operating costs,,
3,5000.0,營業成本合計　Total operating costs,577286947,533487516
4,5900.0,營業毛利（毛損）Gross profit (loss) from operations,492698501,497986041
5,5910.0,未實現銷貨（損）益Unrealized profit (loss) from sales,"(3,395)",111788
6,5950.0,營業毛利（毛損）淨額Gross profit (loss) from operations,492701896,497874253
7,,營業費用Operating expenses,,
8,6100.0,推銷費用　Selling expenses,6348626,5987828
9,6200.0,管理費用　Administrative expenses,21737210,20265883
10,6300.0,研究發展費用　Research and development expenses,91418746,85895569
11,6000.0,營業費用合計　Total operating expenses,119504582,112149280
12,,其他收益及費損淨額Net other income (expenses),,
13,6500.0,其他收益及費損淨額　Net other income (expenses),"(496,224)","(2,101,449)"
14,6900.0,營業利益（損失）Net operating income (loss),372701090,383623524
15,,營業外收入及支出Non-operating income and expenses,,
16,,其他收入　Other income,,
17,7190.0,"其他收入－其他 Other income, others",16606669,14852814
18,7010.0,其他收入合計 Total other income,16606669,14852814
19,,其他利益及損失　Other gains and losses,,
20,7020.0,"其他利益及損失淨額 Other gains and losses, net",944202,"(972,633)"
21,,財務成本　Finance costs,,
22,7050.0,"財務成本淨額 Finance costs, net",3250847,3051223
23,,採用權益法認列之關聯企業及合資損益之份額　Share of profit (loss) of associates and joint ventures accounted for using equity method,,
24,7060.0,"採用權益法認列之關聯企業及合資損益之份額淨額 Share of profit (loss) of associates and joint ventures accounted for using equity method, net",2844222,3057781
25,7000.0,營業外收入及支出合計　Total non-operating income and expenses,17144246,13886739
26,7900.0,繼續營業單位稅前淨利（淨損）Profit (loss) from continuing operations before tax,389845336,397510263
27,,所得稅費用（利益）Tax expense (income),,
28,7950.0,所得稅費用（利益）合計　Total tax expense (income),44501527,46325857
29,8000.0,繼續營業單位本期淨利（淨損）Profit (loss) from continuing operations,345343809,351184406
30,8200.0,本期淨利（淨損）Profit (loss),345343809,351184406
31,,其他綜合損益(淨額)Other comprehensive income,,
32,,不重分類至損益之項目　Components of other comprehensive income that will not be reclassified to profit or loss,,
33,8311.0,確定福利計畫之再衡量數 Gains (losses) on remeasurements of defined benefit plans,253895,"(861,162)"
34,8316.0,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益 Unrealised gains (losses) from investments in equity instruments measured at fair value through other comprehensive income,334327,"(3,309,089)"
35,8317.0,避險工具之損益－不重分類至損益 Gains (losses) on hedging instrument that will not be reclassified to profit or loss,"(109,592)",40975
36,8320.0,"採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目 Share of other comprehensive income of associates and joint ventures accounted for using equity method, components of other comprehensive income that will not be reclassified to profit or loss","(18,271)","(14,217)"
37,8349.0,與不重分類之項目相關之所得稅 Income tax related to components of other comprehensive income that will not be reclassified to profit or loss,20992,"(195,729)"
38,8310.0,不重分類至損益之項目總額 Components of other comprehensive income that will not be reclassified to profit or loss,439367,"(3,947,764)"
39,,後續可能重分類至損益之項目　Components of other comprehensive income that will be reclassified to profit or loss,,
40,8361.0,國外營運機構財務報表換算之兌換差額 Exchange differences on translation,"(14,689,107)",14562386
41,8367.0,透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益 Unrealised gains (losses) from investments in debt instruments measured at fair value through other comprehensive income,2566373,"(870,906)"
42,8370.0,"採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目 Share of other comprehensive income of associates and joint ventures accounted for using equity method, components of other comprehensive income that will be reclassified to profit or loss","(140,195)",93260
43,8399.0,與可能重分類之項目相關之所得稅 Income tax related to components of other comprehensive income that will be reclassified to profit or loss,0,0
44,8360.0,後續可能重分類至損益之項目總額 Components of other comprehensive income that will be reclassified to profit or loss,"(12,262,929)",13784740
45,8300.0,"其他綜合損益（淨額）　Other comprehensive income, net","(11,823,562)",9836976
46,8500.0,本期綜合損益總額Total comprehensive income,333520247,361021382
47,,"淨利（損）歸屬於：Profit (loss), attributable to:",,
48,8610.0,"母公司業主（淨利／損）　Profit (loss), attributable to owners of parent",345263668,351130884
49,8620.0,"非控制權益（淨利／損）　Profit (loss), attributable to non-controlling interests",80141,53522
50,,綜合損益總額歸屬於：Comprehensive income attributable to:,,
51,8710.0,"母公司業主（綜合損益）　Comprehensive income, attributable to owners of parent",333440460,360965015
52,8720.0,"非控制權益（綜合損益）　Comprehensive income, attributable to non-controlling interests",79787,56367
53,,基本每股盈餘Basic earnings per share,,
54,9750.0,基本每股盈餘合計　Total basic earnings per share,13.32,13.54
55,,稀釋每股盈餘Diluted earnings per share,,
56,9850.0,稀釋每股盈餘合計　Total diluted earnings per share,13.32,13.54
