,Date,Volume,Trade_value,Opening,Highest,Lowest,Closing,Change,Transaction
0,20200529,96611181,28172174547,292.0,292.5,290.0,292.0,-2.0,21037
1,20200528,32395568,9575118830,298.5,298.5,293.0,294.0,-2.5,13208
2,20200527,23375959,6932934823,297.0,298.0,295.5,296.5,1.0,11244
3,20200526,35817481,10609868646,295.0,297.5,293.5,295.5,3.5,19524
4,20200525,32942223,9568008388,290.5,293.0,288.5,292.0,0.0,14585
5,20200522,41138923,12025339565,294.5,295.0,291.0,292.0,-5.5,22345
6,20200521,36299468,10782482962,296.0,298.0,295.0,297.5,3.5,17064
7,20200520,36789994,10772280152,293.0,294.0,291.0,294.0,2.5,16906
8,20200519,53083214,15527338138,294.0,294.0,291.5,291.5,1.5,22033
9,20200518,96872065,28216346996,291.0,293.5,290.0,290.0,-8.0,49640
10,20200515,44304804,13170466660,297.5,298.5,294.5,298.0,5.0,20071
11,20200514,34480948,10119787160,293.0,295.0,292.5,293.0,-4.0,21482
12,20200513,46158418,13619538824,293.0,297.0,292.5,297.0,2.0,14555
13,20200512,52494788,15553012596,297.5,298.5,295.0,295.0,-6.0,29073
14,20200511,32379019,9729431840,300.0,301.5,298.5,301.0,3.5,14920
15,20200508,35613893,10619091212,300.0,300.0,296.0,297.5,0.0,14345
16,20200507,28017198,8321170642,294.5,299.0,294.5,297.5,1.5,13149
17,20200506,35704479,10524838077,294.5,296.0,292.5,296.0,0.5,16046
18,20200505,23988405,7104774785,296.5,298.0,295.0,295.5,0.5,13569
19,20200504,72252861,21341931218,294.5,296.5,294.0,295.0,-9.5,37736
20,20200430,58439085,17753466901,302.0,305.0,301.5,304.5,5.5,26219
21,20200429,46253301,13861245296,299.0,301.5,298.0,299.0,2.5,21633
22,20200428,37621165,11134919970,298.5,298.5,294.5,296.5,-1.5,18214
23,20200427,38493406,11461378300,298.0,298.5,296.0,298.0,4.0,15916
24,20200424,26465090,7799075756,295.5,297.0,294.0,294.0,-1.5,13661
25,20200423,39977278,11864085990,300.0,300.0,294.0,295.5,1.5,18541
26,20200422,43568580,12746170556,294.5,295.0,290.5,294.0,-1.0,25176
27,20200421,61949357,18417786171,300.5,301.5,293.5,295.0,-9.0,39043
28,20200420,44586860,13605802989,308.0,309.0,302.5,304.0,-2.5,21791
29,20200417,117447201,35719172728,303.5,308.5,300.5,306.5,20.0,60873
30,20200416,48257280,13813721932,283.0,288.5,283.0,286.5,-1.0,19084
31,20200415,58561434,16819851630,287.0,288.5,286.0,287.5,2.5,25696
32,20200414,50196688,14268689661,281.0,285.5,280.0,285.0,6.5,22214
33,20200413,22196596,6202532380,278.5,281.5,278.5,278.5,-1.0,12809
34,20200410,28206858,7894277586,280.0,282.0,279.0,279.5,-3.5,15833
35,20200409,29276430,8346209654,287.5,288.0,282.5,283.0,-2.0,15271
36,20200408,38698826,11016972354,285.0,285.5,283.0,285.0,2.0,19126
37,20200407,48887346,13817936851,283.5,284.0,280.5,283.0,7.5,24281
38,20200406,59712754,16324198154,273.0,275.5,270.0,275.5,4.0,19971
39,20200401,47572034,13022612818,276.5,276.5,271.5,271.5,-2.5,19580
