,Code,Title,2019,2018
0,,資產Assets,,
1,,流動資產　Current assets,,
2,1100,現金及約當現金 Cash and cash equivalents,34049643.0,27644780.0
3,1110,透過損益按公允價值衡量之金融資產－流動 Current financial assets at fair value through profit or loss,516.0,0.0
4,1139,避險之金融資產－流動 Current financial assets for hedging,327.0,1069.0
5,1140,合約資產－流動 Current contract assets,4441196.0,4868728.0
6,1170,"應收帳款淨額 Accounts receivable, net",26407783.0,30075503.0
7,1180,"應收帳款－關係人淨額 Accounts receivable due from related parties, net",16834.0,24270.0
8,130X,存貨 Current inventories,17344276.0,15120715.0
9,1410,預付款項 Prepayments,1883259.0,1872984.0
10,1470,其他流動資產 Other current assets,9928228.0,12080287.0
11,1476,其他金融資產－流動 Other current financial assets,7498564.0,9504203.0
12,1479,"其他流動資產－其他 Other current assets, others",2429664.0,2576084.0
13,11XX,流動資產合計 Total current assets,94072062.0,91688336.0
14,,非流動資產　Non-current assets,,
15,1510,透過損益按公允價值衡量之金融資產－非流動 Non-current financial assets at fair value through profit or loss,778105.0,517362.0
16,1517,透過其他綜合損益按公允價值衡量之金融資產－非流動 Non-current financial assets at fair value through other comprehensive income,7268917.0,6932503.0
17,1560,合約資產－非流動 Non-current contract assets,2600913.0,2343958.0
18,1550,採用權益法之投資 Investments accounted for using equity method,7354226.0,2944890.0
19,1600,"不動產、廠房及設備 Property, plant and equipment",283694215.0,288914228.0
20,1755,使用權資產 Right-of-use assets,11364249.0,0.0
21,1760,"投資性不動產淨額 Investment property, net",8169393.0,8287212.0
22,1780,無形資產 Intangible assets,47046525.0,50943682.0
23,1840,遞延所得稅資產 Deferred tax assets,3258607.0,3553856.0
24,1900,其他非流動資產 Other non-current assets,11851026.0,11142677.0
25,1955,取得合約之增額成本－非流動 Non-current assets recognised as incremental costs to obtain contract with customers,942652.0,1335030.0
26,1975,"淨確定福利資產-非流動 Net defined benefit asset, non-current",2127335.0,1164088.0
27,1985,長期預付租金 Long-term Lease Prepayments,2679335.0,3463337.0
28,1990,"其他非流動資產－其他 Other non-current assets, others",6101704.0,5180222.0
29,15XX,非流動資產合計 Total non-current assets,383386176.0,375580368.0
30,1XXX,資產總計　Total assets,477458238.0,467268704.0
31,,負債及權益Liabilities and equity,,
32,,負債　Liabilities,,
33,,流動負債 Current liabilities,,
34,2100,短期借款 Current borrowings,90000.0,100000.0
35,2120,透過損益按公允價值衡量之金融負債－流動 Current financial liabilities at fair value through profit or loss,239.0,1114.0
36,2130,合約負債－流動 Current contract liabilities,16839830.0,10687772.0
37,2170,應付帳款 Accounts payable,15312274.0,20464792.0
38,2180,應付帳款－關係人 Accounts payable to related parties,653983.0,917951.0
39,2200,其他應付款 Other payables,22952488.0,23315383.0
40,2219,"其他應付款－其他 Other payables, others",22952488.0,23315383.0
41,2230,本期所得稅負債 Current tax liabilities,4020670.0,4390203.0
42,2250,負債準備－流動 Current provisions,206942.0,128200.0
43,2280,租賃負債－流動 Current lease liabilities,3291330.0,0.0
44,2300,其他流動負債 Other current liabilities,983789.0,1381606.0
45,2399,"其他流動負債－其他 Other current liabilities, others",983789.0,1381606.0
46,21XX,流動負債合計 Total current liabilities,64351545.0,61387021.0
47,,非流動負債 Non-current liabilities,,
48,2527,合約負債－非流動 Non-current contract liabilities,6841485.0,2595149.0
49,2540,長期借款 Non-current portion of non-current borrowings,1600000.0,1600000.0
50,2550,負債準備－非流動 Non-current provisions,97382.0,78627.0
51,2570,遞延所得稅負債 Deferred tax liabilities,1912305.0,1991843.0
52,2580,租賃負債－非流動 Non-current lease liabilities,6466808.0,0.0
53,2600,其他非流動負債 Other non-current liabilities,9794948.0,13043744.0
54,2640,"淨確定福利負債-非流動 Net defined benefit liability, non-current",3504617.0,3533936.0
55,2645,存入保證金 Guarantee deposits received,4747644.0,4716571.0
56,2670,"其他非流動負債－其他 Other non-current liabilities, others",1542687.0,4793237.0
57,25XX,非流動負債合計 Total non-current liabilities,26712928.0,19309363.0
58,2XXX,負債總計 Total liabilities,91064473.0,80696384.0
59,,權益　Equity,,
60,,歸屬於母公司業主之權益 Equity attributable to owners of parent,,
61,,股本 Share capital,,
62,3110,普通股股本 Ordinary share,77574465.0,77574465.0
63,3100,股本合計 Total capital stock,77574465.0,77574465.0
64,,資本公積 Capital surplus,,
65,3200,資本公積合計 Total capital surplus,171255985.0,171136764.0
66,,保留盈餘 Retained earnings,,
67,3310,法定盈餘公積 Legal reserve,77574465.0,77574465.0
68,3320,特別盈餘公積 Special reserve,2675419.0,2675419.0
69,3350,未分配盈餘（或待彌補虧損） Unappropriated retained earnings (accumulated deficit),46341361.0,47141345.0
70,3300,保留盈餘合計 Total retained earnings,126591245.0,127391229.0
71,,其他權益 Other equity interest,,
72,3400,其他權益合計 Total other equity interest,688548.0,459914.0
73,31XX,歸屬於母公司業主之權益合計 Total equity attributable to owners of parent,376110243.0,376562372.0
74,36XX,非控制權益 Non-controlling interests,10283522.0,10009948.0
75,3XXX,權益總計 Total equity,386393765.0,386572320.0
76,3X2X,負債及權益總計　Total liabilities and equity,477458238.0,467268704.0
77,3998,預收股款（權益項下）之約當發行股數　Equivalent issue shares of advance receipts for ordinary share,0.0,0.0
78,3999,母公司暨子公司所持有之母公司庫藏股股數（單位：股）　Number of shares in entity held by entity and by its subsidiaries,0.0,0.0
