,Date,Volume,Trade_value,Opening,Highest,Lowest,Closing,Change,Transaction
0,20200529,18409288,2034098794,110.5,111.5,110.0,110.5,0.0,3522
1,20200528,6454371,712001471,110.0,111.0,110.0,110.5,0.5,2822
2,20200527,7453560,822519600,111.0,111.0,110.0,110.0,-1.0,2833
3,20200526,4452308,493889688,111.0,111.5,110.5,111.0,0.5,1821
4,20200525,4554250,504404250,111.5,111.5,110.5,110.5,-0.5,1666
5,20200522,11160959,1243492449,111.0,112.0,110.5,111.0,-0.5,2452
6,20200521,5396999,600133389,111.5,111.5,110.5,111.5,0.0,2675
7,20200520,5522356,614697016,111.0,111.5,111.0,111.5,0.5,2883
8,20200519,7118181,789793091,111.5,111.5,110.5,111.0,0.5,2603
9,20200518,8188535,902769045,109.5,111.0,109.5,110.5,1.0,3255
10,20200515,5178243,568691730,110.0,110.5,109.5,109.5,-0.5,2056
11,20200514,3616369,397045090,110.0,110.0,109.5,110.0,0.0,1758
12,20200513,4542908,499393380,110.0,110.5,109.5,110.0,0.0,1821
13,20200512,4715049,518373890,110.0,110.5,109.5,110.0,0.0,2415
14,20200511,5093599,561392390,110.5,111.0,110.0,110.0,0.0,2786
15,20200508,21851610,2410267100,110.0,111.5,109.5,110.0,1.0,3843
16,20200507,5621611,614503374,109.5,110.0,109.0,109.0,-0.5,3004
17,20200506,6254989,684008222,109.5,109.5,109.0,109.5,0.5,3145
18,20200505,4527838,494758218,109.0,109.5,109.0,109.0,0.0,2936
19,20200504,8679779,940528757,108.0,109.0,108.0,109.0,-0.5,3870
20,20200430,8916427,978232213,110.0,110.0,109.5,109.5,-0.5,4742
21,20200429,6578610,722236766,109.5,110.0,109.0,110.0,0.5,3923
22,20200428,5086238,556214029,109.5,109.5,109.0,109.5,0.0,2772
23,20200427,5408436,591179024,109.0,109.5,109.0,109.5,1.0,2270
24,20200424,4632768,502790312,109.0,109.0,108.0,108.5,-0.5,1818
25,20200423,6629422,718806998,108.5,109.0,108.0,109.0,0.0,2145
26,20200422,6687437,724222895,108.0,109.0,107.5,109.0,0.5,2147
27,20200421,9206783,998301905,109.0,109.5,108.0,108.5,-0.5,3840
28,20200420,7909536,861764924,108.5,109.5,108.5,109.0,0.5,3415
29,20200417,6409933,695968182,108.5,109.0,108.0,108.5,0.5,3363
30,20200416,8541891,923756127,108.5,109.0,108.0,108.0,-1.0,3973
31,20200415,11627585,1261873765,109.0,109.0,108.0,109.0,0.5,4074
32,20200414,8416559,912759104,108.5,108.5,108.0,108.5,0.5,3483
33,20200413,6173698,666532884,108.0,108.5,107.5,108.0,0.0,2047
34,20200410,9457688,1018995804,107.5,108.0,107.0,108.0,1.0,3195
35,20200409,5748576,616490394,107.5,107.5,107.0,107.0,-1.0,2348
36,20200408,5668113,610659204,107.5,108.0,107.0,108.0,0.5,2174
37,20200407,8796428,945382724,108.0,108.0,107.0,107.5,-0.5,3269
38,20200406,7513316,809690978,108.0,108.0,107.0,108.0,1.0,3018
39,20200401,11966862,1286213122,107.5,108.0,107.0,107.0,-0.5,3597
40,20200331,8431751,903221857,107.0,107.5,106.5,107.5,1.0,2352
41,20200330,6517201,694513507,106.5,107.0,106.0,106.5,-1.0,2435
42,20200327,7273843,781080588,108.0,108.0,107.0,107.5,0.0,3410
43,20200326,6411652,691459040,108.0,109.0,107.5,107.5,-0.5,2796
44,20200325,9847227,1060759834,107.0,108.5,107.0,108.0,1.0,4160
45,20200324,16253605,1741902630,106.5,108.0,106.0,107.0,1.5,7409
46,20200323,14916932,1574636251,105.0,106.0,104.5,105.5,-1.0,4646
47,20200320,24679658,2611256248,106.0,106.5,104.5,106.5,1.0,7872
48,20200319,24486593,2551305384,104.0,106.0,103.5,105.5,-1.0,9548
49,20200318,17985225,1907565380,107.0,107.0,105.0,106.5,-0.5,6317
50,20200317,22133575,2333180950,104.0,107.0,103.5,107.0,2.0,9644
51,20200316,16463671,1734459698,106.5,107.0,105.0,105.0,-1.0,7028
52,20200313,34147652,3571200112,106.5,107.0,103.0,106.0,-1.5,15490
53,20200312,16766527,1803569093,108.0,108.5,107.0,107.5,-1.0,8050
54,20200311,9091040,980907272,108.0,108.5,107.5,108.5,1.0,4928
55,20200310,10880267,1171306836,107.0,108.5,107.0,107.5,0.0,5150
56,20200309,9024036,972349388,108.0,108.0,107.5,107.5,-1.0,5297
57,20200306,7553751,822981359,109.5,110.0,108.5,108.5,-1.5,3564
58,20200305,6645546,729312060,109.5,110.0,109.0,110.0,1.0,3373
59,20200304,4698670,510727030,108.5,109.0,108.0,109.0,1.0,2270
60,20200303,7103100,768666801,108.0,109.0,108.0,108.0,0.0,3841
61,20200302,11114123,1198189784,107.5,108.0,107.0,108.0,0.0,5404
