,Date,Volume,Trade_value,Opening,Highest,Lowest,Closing,Change,Transaction
0,20200529,9592183,4434895676,460.0,467.0,453.5,463.0,3.0,5039
1,20200528,10968535,5042125065,468.0,469.0,453.5,460.0,-4.5,7753
2,20200527,8859230,4103795784,465.0,466.0,459.5,464.5,4.5,5659
3,20200526,6684259,3099929881,460.0,468.0,458.0,460.0,0.0,4925
4,20200525,11364742,5164434635,451.5,460.0,449.0,460.0,18.0,7958
5,20200522,15484024,6915073334,446.5,455.0,440.0,442.0,-22.5,10880
6,20200521,9455736,4403000074,470.0,472.0,460.5,464.5,-5.5,6202
7,20200520,18969567,8904290369,467.0,479.0,464.0,470.0,8.0,12582
8,20200519,23381164,10775474986,462.5,464.0,458.0,462.0,21.5,14326
9,20200518,25672990,11420605156,452.0,452.0,436.5,440.5,29.5,16188
10,20200515,5826797,2391258070,414.0,415.5,404.5,411.0,0.0,4110
11,20200514,8304088,3425799668,417.0,419.0,406.5,411.0,-9.0,6379
12,20200513,11287740,4685732680,408.5,420.0,407.0,420.0,13.0,7564
13,20200512,5093041,2075357228,408.0,409.5,404.0,407.0,-3.0,3520
14,20200511,6480940,2658770900,415.5,415.5,407.0,410.0,-1.5,4593
15,20200508,6884964,2852857389,415.0,418.0,411.5,411.5,0.5,4489
16,20200507,8184230,3379054800,412.0,415.0,411.0,411.0,3.0,5478
17,20200506,10340772,4204073308,405.0,409.5,401.5,408.0,6.5,6072
18,20200505,7287899,2917832410,403.5,405.5,396.0,401.5,2.0,5685
19,20200504,11748303,4709062700,404.0,405.0,398.0,399.5,-15.5,8589
20,20200430,22045679,9056156448,412.0,415.5,405.0,415.0,17.0,14050
21,20200429,31507975,12411291051,400.0,400.0,386.5,398.0,23.0,21633
22,20200428,10769852,3988722587,374.5,375.0,363.5,375.0,3.0,7675
23,20200427,13194986,4820204264,357.0,374.0,355.5,372.0,23.5,9305
24,20200424,6025467,2112875917,351.0,353.0,348.0,348.5,-2.5,4076
25,20200423,8791011,3063268876,347.5,351.0,344.0,351.0,5.0,5965
26,20200422,12142371,4208265880,350.0,352.0,342.0,346.0,-7.5,9299
27,20200421,11421460,4098032604,367.0,367.0,352.0,353.5,-16.5,8627
28,20200420,5979488,2213219259,371.0,373.5,366.5,370.0,2.0,3799
29,20200417,13317197,4923770465,379.0,379.0,363.0,368.0,6.5,8819
30,20200416,6871648,2491533020,361.0,365.5,360.5,361.5,-4.0,4174
31,20200415,8890815,3253892664,370.0,370.5,363.5,365.5,0.0,5873
32,20200414,13578196,4929041591,354.0,368.5,353.5,365.5,14.0,8960
33,20200413,7148004,2515220408,349.0,354.5,348.5,351.5,1.5,4177
34,20200410,6619621,2318809264,352.5,352.5,348.0,350.0,-1.5,4052
35,20200409,8237776,2892865250,356.0,356.0,347.5,351.5,2.0,5200
36,20200408,6885590,2399316273,346.0,352.0,345.0,349.5,2.5,4941
37,20200407,10214322,3551388356,348.0,350.0,346.0,347.0,6.0,5632
38,20200406,8234391,2805449722,346.0,346.0,336.5,341.0,7.0,5494
39,20200401,6677209,2209097396,333.0,334.0,325.5,334.0,6.5,4960
40,20200331,10956002,3640562391,339.0,343.5,326.0,327.5,-9.0,7793
41,20200330,11164349,3697049811,329.5,336.5,323.0,336.5,-3.5,7513
42,20200327,13224545,4583620030,359.5,359.5,336.5,340.0,-3.5,9161
43,20200326,11554093,3906131492,339.0,345.0,328.0,343.5,9.0,8461
44,20200325,20283591,6973782076,348.0,353.0,330.0,334.5,4.5,13754
45,20200324,13447078,4486612738,336.0,338.5,326.0,330.0,22.0,8947
46,20200323,21198004,6537935776,307.0,314.0,296.0,308.0,7.0,14232
47,20200320,17586676,5245651976,296.0,301.0,287.0,301.0,27.0,8826
48,20200319,25712419,7248969225,291.0,298.5,273.0,274.0,-27.5,16966
49,20200318,14131612,4441650824,315.5,321.5,301.5,301.5,-14.0,9639
50,20200317,14400860,4580804120,308.0,328.5,308.0,315.5,-4.5,9491
51,20200316,12157253,4020202713,333.0,342.5,320.0,320.0,-21.0,8087
52,20200313,23633277,7679822957,307.5,348.0,305.0,341.0,5.0,15128
53,20200312,19312208,6651230970,356.0,358.5,336.0,336.0,-27.0,12801
54,20200311,9371669,3471915840,373.5,377.0,362.0,363.0,-10.5,6371
55,20200310,11832469,4357631145,363.5,373.5,362.0,373.5,7.0,7776
56,20200309,11652891,4271197888,368.5,371.0,361.0,366.5,-12.0,7613
57,20200306,7682406,2914891650,380.0,382.5,376.5,378.5,-6.5,5211
58,20200305,11305601,4317208665,377.5,385.0,376.0,385.0,14.5,7410
59,20200304,10894688,4012499436,371.5,372.5,364.0,370.5,-1.5,5720
60,20200303,10014005,3747508875,373.0,378.5,371.0,372.0,9.0,6126
61,20200302,11727602,4237999575,356.0,368.0,353.5,363.0,3.0,7845
