,Date,Volume,Trade_value,Opening,Highest,Lowest,Closing,Change,Transaction
0,20200529,11900466,1043785699,87.3,88.6,87.2,87.7,-0.2,2516
1,20200528,4994318,440771002,89.0,89.4,87.7,87.9,-1.1,2854
2,20200527,3093410,276301390,90.0,90.5,88.4,89.0,-0.6,2018
3,20200526,3503545,314071269,89.1,90.1,89.0,89.6,0.6,2099
4,20200525,4426758,392169064,89.9,90.0,88.0,89.0,-1.0,2838
5,20200522,5980182,541123018,91.6,91.6,90.0,90.0,-2.0,3506
6,20200521,4850400,445874600,91.5,93.0,91.3,92.0,1.0,2945
7,20200520,4240366,388479861,93.0,93.0,91.0,91.0,-1.1,2629
8,20200519,12436669,1154721182,92.3,95.0,91.5,92.1,2.8,7321
9,20200518,7880405,699734011,87.4,90.0,87.0,89.3,2.9,4664
10,20200515,4897663,425654481,87.5,87.7,86.4,86.4,-0.3,2092
11,20200514,5087281,440949868,86.8,87.8,85.9,86.7,-0.9,2414
12,20200513,4228323,364510676,86.0,87.6,85.1,87.6,1.1,2748
13,20200512,6551249,567287876,87.5,88.0,86.0,86.5,-2.4,3802
14,20200511,5811998,519988304,89.8,90.2,88.8,88.9,0.6,4128
15,20200508,9146377,801738604,85.9,88.6,85.8,88.3,3.9,6421
16,20200507,6831999,578473415,84.1,86.0,84.1,84.4,-0.6,4637
17,20200506,6076754,518955055,86.4,86.7,84.5,85.0,-1.0,3855
18,20200505,5456768,473302495,88.1,88.8,86.0,86.0,-0.4,3219
19,20200504,7487436,647266332,85.2,87.8,85.0,86.4,-3.3,4490
20,20200430,11768238,1037106400,83.9,90.3,83.9,89.7,6.0,7264
21,20200429,7142105,592348520,81.5,84.0,81.5,83.7,2.4,4314
22,20200428,3044441,248176275,82.0,82.1,81.2,81.3,-0.6,1969
23,20200427,5038889,412196178,81.2,82.5,80.6,81.9,0.9,3127
24,20200424,2817685,226843170,79.9,81.0,79.6,81.0,0.2,1919
25,20200423,3347385,268838095,80.0,81.0,79.2,80.8,0.8,1954
26,20200422,3173146,250213149,78.8,80.0,77.8,80.0,0.5,2271
27,20200421,5719933,456147218,80.8,81.1,78.2,79.5,-2.2,3969
28,20200420,2640242,216371983,82.5,82.5,81.7,81.7,-0.9,1623
29,20200417,4412494,367948636,82.5,84.9,82.5,82.6,0.5,2746
30,20200416,3949006,322923290,82.0,82.6,81.0,82.1,-0.8,2429
31,20200415,4177480,344098440,82.2,83.5,81.6,82.9,0.9,2975
32,20200414,3075367,251434654,81.2,82.8,81.1,82.0,0.9,1918
33,20200413,2751862,224201327,82.2,82.2,81.1,81.1,-1.2,1729
34,20200410,2266467,186173760,81.7,82.8,81.4,82.3,0.7,1559
35,20200409,3841591,315001710,82.3,82.7,81.5,81.6,-0.7,2791
36,20200408,4611245,377195235,81.0,82.3,80.7,82.3,0.8,2856
37,20200407,4531835,367221375,81.3,82.0,80.1,81.5,1.1,3022
38,20200406,6549494,523270014,81.0,82.9,78.3,80.4,2.4,4162
39,20200401,6144221,485516980,80.5,80.7,78.0,78.0,-3.4,4455
40,20200331,5256895,426743836,80.7,81.9,80.4,81.4,0.8,2338
41,20200330,4886097,386453006,77.8,81.0,76.2,80.6,0.6,2747
42,20200327,4447573,356116540,80.8,80.9,79.3,80.0,0.3,2673
43,20200326,4386153,347322269,79.2,79.8,77.2,79.7,1.2,2607
44,20200325,4835301,382376133,79.4,79.8,78.0,78.5,1.1,2975
45,20200324,6318146,485535869,74.7,78.0,74.0,77.4,5.7,3664
46,20200323,4411148,313936811,69.5,72.6,68.4,71.7,0.2,2779
47,20200320,7613008,540982152,70.0,72.4,70.0,71.5,4.2,4351
48,20200319,8171642,548265816,67.0,68.8,66.1,67.3,-0.9,4537
49,20200318,7848301,537013960,68.9,69.0,67.8,68.2,-1.2,4706
50,20200317,7730660,530230416,67.9,69.7,67.5,69.4,-0.6,4229
51,20200316,8222876,579568652,73.4,73.4,70.0,70.0,-2.9,5446
52,20200313,11672985,829850890,72.9,72.9,70.0,72.9,-4.2,6094
53,20200312,7034575,549232663,81.1,81.1,77.1,77.1,-3.6,4495
54,20200311,5171993,419292712,82.0,82.1,80.1,80.7,-0.9,3352
55,20200310,5971252,484517516,80.0,82.7,80.0,81.6,-1.3,3964
56,20200309,11045984,923108349,84.3,84.7,82.9,82.9,-4.2,6818
57,20200306,3509021,304528720,88.4,88.4,86.3,87.1,-1.4,2331
58,20200305,2331227,206351303,88.4,88.7,88.2,88.5,0.4,1831
59,20200304,3950510,346833875,86.2,88.5,86.2,88.1,1.7,2487
60,20200303,2633548,226246584,85.6,86.6,85.3,86.4,1.4,1821
61,20200302,4687853,398267619,84.1,85.6,83.9,85.0,-1.1,2543
