,Date,Price,Daily_Return
0,20200529,265.2309,0.0135851269
1,20200528,269.1185,0.001692062
2,20200527,269.7375,-0.0053170419
3,20200526,268.4386,-0.0149056312
4,20200525,264.4718,0.0073552103
5,20200522,266.411,0.0115046809
6,20200521,269.5698,-0.0105790093
7,20200520,266.4079,-0.0001015528
8,20200519,266.2371,-0.0039766577
9,20200518,264.8802,0.0205604265
10,20200515,270.3684,-0.0101345313
11,20200514,267.1607,0.0044281189
12,20200513,268.4749,0.0040290471
13,20200512,269.8408,0.0113192376
14,20200511,273.1612,-0.007989797
15,20200508,271.3258,-0.0082412416
16,20200507,269.396,-0.0057827184
17,20200506,267.8989,0.0044872463
18,20200505,269.2192,-0.0038847055
19,20200504,268.1093,0.0273923333
20,20200430,275.622,-0.0130200753
21,20200429,272.0944,-0.0076708776
22,20200428,269.96,0.0010275798
23,20200427,270.4479,-0.0085925247
24,20200424,268.1673,0.007177644
25,20200423,270.1827,-0.0132995424
26,20200422,266.655,0.0141357207
27,20200421,270.4235,0.0263280939
28,20200420,277.8692,-0.0037240612
29,20200417,276.8447,-0.062616666
30,20200416,259.5293,0.0065641518
31,20200415,261.319,-0.0145294705
32,20200414,257.4071,-0.0121040062
33,20200413,254.1721,0.0030738647
34,20200410,254.9649,0.0175699984
35,20200409,259.5994,-0.004380531
36,20200408,258.8707,-0.0091976486
37,20200407,256.9835,-0.0320501746
38,20200406,248.6963,0.0020796034
39,20200401,249.1689,0.0
