,Date,Volume,Trade_value,Opening,Highest,Lowest,Closing,Change,Transaction
0,20200504,72252861,21341931218,294.5,296.5,294.0,295.0,-9.5,37736
1,20200505,23988405,7104774785,296.5,298.0,295.0,295.5,0.5,13569
2,20200506,35704479,10524838077,294.5,296.0,292.5,296.0,0.5,16046
3,20200507,28017198,8321170642,294.5,299.0,294.5,297.5,1.5,13149
4,20200508,35613893,10619091212,300.0,300.0,296.0,297.5,0.0,14345
5,20200511,32379019,9729431840,300.0,301.5,298.5,301.0,3.5,14920
6,20200512,52494788,15553012596,297.5,298.5,295.0,295.0,-6.0,29073
7,20200513,46158418,13619538824,293.0,297.0,292.5,297.0,2.0,14555
8,20200514,34480948,10119787160,293.0,295.0,292.5,293.0,-4.0,21482
9,20200515,44304804,13170466660,297.5,298.5,294.5,298.0,5.0,20071
10,20200518,96872065,28216346996,291.0,293.5,290.0,290.0,-8.0,49640
11,20200519,53083214,15527338138,294.0,294.0,291.5,291.5,1.5,22033
12,20200520,36789994,10772280152,293.0,294.0,291.0,294.0,2.5,16906
13,20200521,36299468,10782482962,296.0,298.0,295.0,297.5,3.5,17064
14,20200522,41138923,12025339565,294.5,295.0,291.0,292.0,-5.5,22345
15,20200525,32942223,9568008388,290.5,293.0,288.5,292.0,0.0,14585
16,20200526,35817481,10609868646,295.0,297.5,293.5,295.5,3.5,19524
17,20200527,23375959,6932934823,297.0,298.0,295.5,296.5,1.0,11244
18,20200528,32395568,9575118830,298.5,298.5,293.0,294.0,-2.5,13208
19,20200401,47572034,13022612818,276.5,276.5,271.5,271.5,-2.5,19580
20,20200406,59712754,16324198154,273.0,275.5,270.0,275.5,4.0,19971
21,20200407,48887346,13817936851,283.5,284.0,280.5,283.0,7.5,24281
22,20200408,38698826,11016972354,285.0,285.5,283.0,285.0,2.0,19126
23,20200409,29276430,8346209654,287.5,288.0,282.5,283.0,-2.0,15271
24,20200410,28206858,7894277586,280.0,282.0,279.0,279.5,-3.5,15833
25,20200413,22196596,6202532380,278.5,281.5,278.5,278.5,-1.0,12809
26,20200414,50196688,14268689661,281.0,285.5,280.0,285.0,6.5,22214
27,20200415,58561434,16819851630,287.0,288.5,286.0,287.5,2.5,25696
28,20200416,48257280,13813721932,283.0,288.5,283.0,286.5,-1.0,19084
29,20200417,117447201,35719172728,303.5,308.5,300.5,306.5,20.0,60873
30,20200420,44586860,13605802989,308.0,309.0,302.5,304.0,-2.5,21791
31,20200421,61949357,18417786171,300.5,301.5,293.5,295.0,-9.0,39043
32,20200422,43568580,12746170556,294.5,295.0,290.5,294.0,-1.0,25176
33,20200423,39977278,11864085990,300.0,300.0,294.0,295.5,1.5,18541
34,20200424,26465090,7799075756,295.5,297.0,294.0,294.0,-1.5,13661
35,20200427,38493406,11461378300,298.0,298.5,296.0,298.0,4.0,15916
36,20200428,37621165,11134919970,298.5,298.5,294.5,296.5,-1.5,18214
37,20200429,46253301,13861245296,299.0,301.5,298.0,299.0,2.5,21633
38,20200430,58439085,17753466901,302.0,305.0,301.5,304.5,5.5,26219
39,20200302,86372942,26864484400,308.0,317.0,308.0,311.0,-5.0,35320
40,20200303,55169411,17534766696,318.5,320.0,316.0,317.5,6.5,20713
41,20200304,44745146,14304795666,322.0,322.0,317.0,320.5,3.0,16118
42,20200305,38223525,12392618100,325.0,326.0,323.0,323.0,2.5,15107
43,20200306,52807760,16733485610,320.0,320.5,315.0,315.0,-8.0,24175
44,20200309,88633277,27236002054,307.5,310.0,305.5,305.5,-9.5,44882
45,20200310,74869130,22727941511,301.5,309.0,301.0,307.0,1.5,30268
46,20200311,64923710,19913151529,309.0,310.5,302.0,302.0,-5.0,27176
47,20200312,114173351,33544278206,299.0,299.0,287.0,294.0,-8.0,56989
48,20200313,151268148,42448997546,275.0,294.0,272.5,290.0,-4.0,71990
49,20200316,103933228,29343288916,285.0,291.0,275.5,276.5,-13.5,51292
50,20200317,122409651,32936712540,265.0,276.5,265.0,268.0,-8.5,57123
51,20200318,118620643,31555231792,269.5,272.5,260.0,260.0,-8.0,53985
52,20200319,160811697,39559889553,252.0,253.0,235.5,248.0,0.0,77302
53,20200320,159179726,42110816042,258.5,270.0,256.0,270.0,22.0,69829
54,20200323,76963709,19851467203,257.0,262.5,252.0,255.0,-15.0,41621
55,20200324,82377933,22207033614,268.0,274.0,266.0,267.5,12.5,41077
56,20200325,80514199,22368633590,276.5,280.0,274.0,277.0,9.5,40932
57,20200326,54189633,15108299935,279.5,280.0,275.5,280.0,3.0,27648
58,20200327,69320306,19324060590,284.0,286.0,273.0,273.0,-7.0,36025
59,20200330,53403956,14205364184,263.5,269.0,262.5,267.5,-5.5,27779
60,20200331,53901923,14712557472,273.0,274.0,269.5,274.0,6.5,20343
61,20200203,59711849,18782694826,315.0,316.5,312.0,315.0,-5.0,26483
62,20200204,52208496,16882411296,319.0,326.0,318.0,325.0,10.0,22587
63,20200205,36601453,11985817083,329.0,329.5,324.5,327.5,2.5,16656
64,20200206,29659094,9803038836,329.5,332.5,329.0,332.5,5.0,14246
65,20200207,30055327,9869903253,330.0,330.5,326.0,328.0,-4.5,13075
66,20200210,30814424,10024967927,321.5,328.0,321.0,327.5,-0.5,14825
67,20200211,29062935,9629938182,330.5,332.5,330.0,331.5,4.0,12766
68,20200212,37612639,12593082711,333.5,336.0,333.0,335.0,3.5,17394
69,20200213,23217021,7805299096,338.0,338.0,335.0,335.0,0.0,12563
70,20200214,18326683,6155862838,337.0,337.0,334.5,335.0,0.0,7881
71,20200217,16145079,5354339726,331.5,333.0,330.5,331.5,-3.5,9747
72,20200218,64662604,20957801150,324.5,326.5,322.0,322.0,-9.5,36520
73,20200219,48856218,15881609046,322.5,327.0,322.0,326.5,4.5,16003
74,20200220,27061736,8832642641,328.0,329.0,325.0,325.5,-1.0,11695
75,20200221,22974534,7463007621,325.5,326.5,323.0,325.0,-0.5,9342
76,20200224,42946680,13754512932,319.5,321.5,319.5,320.0,-5.0,18902
77,20200225,38674011,12425785349,320.0,323.5,317.5,322.0,2.0,17366
78,20200226,60768362,19341695595,317.0,320.5,316.5,318.5,-3.5,24310
79,20200227,62401927,19756146876,319.0,320.0,315.0,316.0,-2.5,20633
80,20200102,33282120,11224165450,332.5,339.0,332.5,339.0,8.0,17160
81,20200103,42023268,14295651580,344.0,345.0,335.5,339.5,0.5,20545
82,20200106,45677057,15210531318,333.0,334.5,332.0,332.0,-7.5,22944
83,20200107,51746181,17053282011,332.5,333.0,326.5,329.5,-2.5,22362
84,20200108,37913748,12484410088,325.0,333.0,325.0,329.5,0.0,18228
85,20200109,32397504,10890847940,335.0,337.5,333.5,337.5,8.0,16793
86,20200110,27880115,9432320316,340.5,341.0,336.0,339.5,2.0,13296
87,20200113,30663332,10455852739,342.0,342.0,339.0,341.5,2.0,13457
88,20200114,30368993,10488360978,345.5,346.0,344.5,346.0,4.5,16339
89,20200115,54575274,18590754206,345.0,345.0,337.5,340.0,-6.0,20392
90,20200116,58217420,19431133895,330.0,336.5,330.0,334.5,-5.5,24721
91,20200117,53908097,17977119406,334.0,335.5,332.0,333.0,-1.5,23954
92,20200120,35551203,11865436839,334.0,335.5,333.0,333.0,0.0,15095
93,20200130,126820049,40734449874,326.0,326.0,316.5,316.5,-16.5,55603
94,20200131,62912055,20205365710,323.0,323.5,319.0,320.0,3.5,22639
95,20191202,25516807,7844458306,307.0,308.0,306.5,307.5,2.5,8465
96,20191203,27686319,8472595177,305.0,307.0,305.0,307.0,-0.5,9206
97,20191204,34911686,10652239802,305.0,306.0,304.0,306.0,-1.0,9989
98,20191205,39349842,12240671524,309.0,312.0,309.0,312.0,6.0,13587
99,20191206,18402703,5771010050,315.0,316.0,311.0,313.0,1.0,8974
100,20191209,23556081,7433484496,314.0,316.5,314.0,316.0,3.0,10583
101,20191210,20847594,6540475540,315.0,315.5,312.5,313.5,-2.5,8702
102,20191211,34329148,10866410212,314.0,319.0,313.0,319.0,5.5,11689
103,20191212,52801851,17446169339,325.0,334.5,324.0,331.5,12.5,22555
104,20191213,60843939,20697194061,340.0,343.0,338.0,339.0,7.5,23025
105,20191216,48340188,16272523200,336.5,338.5,336.0,336.0,-3.0,16938
106,20191217,41428458,14153896438,335.0,345.0,335.0,345.0,9.0,16808
107,20191218,42486841,14594689501,341.5,345.0,341.5,344.5,-0.5,15836
108,20191219,55667012,18774880620,340.0,342.0,335.0,335.0,0.0,28105
109,20191220,86280459,28483237354,332.0,333.0,328.5,329.0,-6.0,28112
110,20191223,26911340,8923609754,329.5,334.0,329.5,334.0,5.0,12310
111,20191224,13783907,4591661991,334.0,334.5,332.0,332.0,-2.0,7887
112,20191225,12262954,4075131136,332.0,334.5,331.0,333.0,1.0,7597
113,20191226,11427884,3803665702,333.0,334.0,331.5,333.0,0.0,6439
114,20191227,16677806,5624251712,335.0,338.0,335.0,338.0,5.0,8660
115,20191230,21591263,7270827164,338.0,339.0,334.0,334.5,-3.5,10468
116,20191231,22950517,7614538961,331.0,333.5,331.0,331.0,-3.5,12253
117,20191101,30216678,8998151212,299.5,299.5,296.5,299.0,0.5,10241
118,20191104,45155671,13767873778,302.5,308.0,301.0,307.0,8.0,18475
119,20191105,32253184,9965563625,307.5,310.5,307.0,310.5,3.5,13698
120,20191106,22149743,6864516290,309.0,311.5,308.0,311.0,0.5,9660
121,20191107,28453659,8769417841,310.0,310.0,306.5,309.0,-2.0,12277
122,20191108,26230542,8040782450,308.5,309.0,305.5,305.5,-3.5,12740
123,20191111,35285583,10660082266,305.0,305.0,300.0,301.0,-4.5,15246
124,20191112,19016708,5774255431,302.5,305.0,302.0,305.0,4.0,8957
125,20191113,18422438,5583245970,303.0,304.0,301.5,304.0,-1.0,6039
126,20191114,15734835,4776767840,304.5,305.0,302.0,303.5,-0.5,6219
